,A,B
753,EPO,CSF2RB
754,IL3,IL3RA
755,IL3,CSF2RB
756,TSLP,IL7R
757,TSLP,CRLF2
758,BMP5,ACVR1
759,BMP5,BMPR2
760,BMP6,ACVR1
761,BMP6,BMPR2
762,BMP7,ACVR1
763,BMP7,BMPR2
764,BMP8A,ACVR1
765,BMP8A,BMPR2
766,BMP8B,ACVR1
767,BMP8B,BMPR2
768,BMP10,ACVRL1
769,BMP10,BMPR2
770,GDF2,ACVRL1
771,GDF2,BMPR2
772,BMP2,BMPR1A
773,BMP2,BMPR2
774,BMP4,BMPR1A
775,BMP4,BMPR2
776,BMP5,BMPR1A
777,BMP6,BMPR1A
778,BMP7,BMPR1A
779,BMP8A,BMPR1A
780,BMP8B,BMPR1A
781,GDF5,BMPR1A
782,GDF5,BMPR2
783,GDF6,BMPR1A
784,GDF6,BMPR2
785,GDF7,BMPR1A
786,GDF7,BMPR2
787,BMP2,BMPR1B
788,BMP4,BMPR1B
789,BMP5,BMPR1B
790,BMP6,BMPR1B
791,BMP7,BMPR1B
792,BMP8A,BMPR1B
793,BMP8B,BMPR1B
794,GDF5,BMPR1B
795,GDF6,BMPR1B
796,GDF7,BMPR1B
797,GDF9,TGFBR1
798,AMH,AMHR2
799,AMH,BMPR1A
800,BMP5,ACVR2B
801,BMP6,ACVR2B
802,BMP7,ACVR2B
803,BMP8A,ACVR2B
804,BMP8B,ACVR2B
805,NODAL,ACVR1B
806,NODAL,ACVR2B
807,MSTN,ACVR1B
808,MSTN,ACVR2B
809,GDF1,ACVR1B
810,GDF1,ACVR2B
811,GDF11,ACVR1B
812,GDF11,ACVR2B
813,GDF3,ACVR1B
814,GDF3,ACVR2B
815,GDF10,ACVR1B
816,GDF10,ACVR2B
817,NODAL,ACVR1C
818,GDF1,ACVR1C
819,GDF3,ACVR1C
820,BMP10,ACVR2B
821,GDF2,ACVR2B
822,BMP2,ACVR2B
823,BMP4,ACVR2B
824,GDF5,ACVR2B
825,GDF6,ACVR2B
826,GDF7,ACVR2B
827,MSTN,TGFBR1
828,GDF11,TGFBR1
829,BMP5,ACVR2A
830,BMP6,ACVR2A
831,BMP7,ACVR2A
832,BMP8A,ACVR2A
833,BMP8B,ACVR2A
834,NODAL,ACVR2A
835,GDF1,ACVR2A
836,GDF11,ACVR2A
837,GDF3,ACVR2A
838,BMP10,ACVR2A
839,GDF2,ACVR2A
840,BMP2,ACVR2A
841,BMP4,ACVR2A
842,GDF5,ACVR2A
843,GDF6,ACVR2A
844,GDF7,ACVR2A
845,AMH,ACVR1
846,TGFB1,ACVR1
847,TGFB2,ACVR1
848,TGFB3,ACVR1
849,PLTP,ABCA1
850,CCL11,ACKR1
851,CCL13,ACKR1
852,CCL14,ACKR1
853,CCL17,ACKR1
854,CCL2,ACKR1
855,CCL5,ACKR1
856,CXCL8,ACKR1
857,PPBP,ACKR1
858,CXCL1,ACKR1
859,CXCL2,ACKR1
860,CCL11,ACKR2
861,CCL13,ACKR2
862,CCL14,ACKR2
863,CCL17,ACKR2
864,CCL2,ACKR2
865,CCL22,ACKR2
866,CCL23,ACKR2
867,CCL24,ACKR2
868,CCL3,ACKR2
869,CCL3L1,ACKR2
870,CCL4,ACKR2
871,CCL4L1,ACKR2
872,CCL5,ACKR2
873,CCL7,ACKR2
874,CCL8,ACKR2
875,CXCL11,ACKR3
876,CXCL12,ACKR3
877,CCL19,ACKR4
878,CCL21,ACKR4
879,CCL25,ACKR4
880,CXCL13,ACKR4
881,ADCYAP1,ADCYAP1R1
882,SDC1,ADGRA2
883,SDC2,ADGRA2
884,RTN4R,ADGRB1
885,RTN4RL1,ADGRB1
886,RTN4RL2,ADGRB1
887,TAX1BP3,ADGRB2
888,C1QL1,ADGRB3
889,C1QL2,ADGRB3
890,C1QL3,ADGRB3
891,C1QL4,ADGRB3
892,LPAR1,ADGRE5
893,THY1,ADGRE5
894,COL3A1,ADGRG1
895,TGM2,ADGRG1
896,COL4A1,ADGRG6
897,COL4A2,ADGRG6
898,COL4A3,ADGRG6
899,COL4A4,ADGRG6
900,COL4A5,ADGRG6
901,COL4A6,ADGRG6
902,LAMA2,ADGRG6
903,PRNP,ADGRG6
904,SHANK1,ADGRL1
905,SHANK2,ADGRL1
906,FLRT1,ADGRL1
907,FLRT2,ADGRL1
908,TENM1,ADGRL1
909,TENM3,ADGRL1
910,TENM4,ADGRL1
911,TENM2,ADGRL1
912,FLRT3,ADGRL1
913,NRXN1,ADGRL1
914,NRXN2,ADGRL1
915,NRXN3,ADGRL1
916,FLRT3,ADGRL2
917,TENM1,ADGRL2
918,TENM2,ADGRL2
919,TENM3,ADGRL2
920,TENM4,ADGRL2
921,FLRT1,ADGRL3
922,TENM1,ADGRL3
923,TENM2,ADGRL3
924,TENM3,ADGRL3
925,TENM4,ADGRL3
926,FLRT3,ADGRL3
927,AGT,AGTR1
928,TIMP3,AGTR2
929,AGT,AGTR2
930,L1CAM,ALCAM
931,CD6,ALCAM
932,MDK,ALK
933,ALKAL1,ALK
934,PTN,ALK
935,ALKAL2,ALK
936,GPI,AMFR
937,APLN,APLNR
938,APELA,APLNR
939,SERTAD1,AR
940,AVP,AVPR1A
941,OXT,AVPR1A
942,AVP,AVPR1B
943,OXT,AVPR1B
944,OXT,AVPR2
945,AVP,AVPR2
946,GAS6,AXL
947,PROS1,AXL
948,LAMA5,BCAM
949,NMB,BRS3
950,GRP,BRS3
951,C3,C3AR1
952,RPS19,C5AR1
