,A,B
2956,TNFSF12,TNFRSF25
2957,UCN,CRHR1
2958,UCN,CRHR2
2959,UCN2,CRHR1
2960,UCN2,CRHR2
2961,UCN3,CRHR2
2962,UTS2,UTS2R
2963,UTS2B,UTS2R
2964,VIP,ADCYAP1R1
2965,VIP,SCTR
2966,VIP,VIPR1
2967,VIP,VIPR2
2968,VWF,GP1BA
2969,VWF,GP1BB
2970,VWF,ITGAV
2971,VWF,ITGB3
2972,WNT1,FZD10
2973,WNT1,FZD3
2974,WNT1,FZD6
2975,WNT1,RYK
2976,WNT1,FZD9
2977,WNT10A,FZD7
2978,WNT11,FZD1
2979,WNT11,LRP5
2980,WNT11,LRP6
2981,WNT11,FZD10
2982,WNT11,FZD2
2983,WNT11,FZD3
2984,WNT11,FZD4
2985,WNT11,FZD5
2986,WNT11,FZD6
2987,WNT11,FZD7
2988,WNT11,FZD8
2989,WNT11,FZD9
2990,WNT16,FZD1
2991,WNT16,LRP5
2992,WNT16,LRP6
2993,WNT16,FZD10
2994,WNT16,FZD2
2995,WNT16,FZD3
2996,WNT16,FZD4
2997,WNT16,FZD5
2998,WNT16,FZD6
2999,WNT16,FZD7
3000,WNT16,FZD8
3001,WNT16,FZD9
3002,WNT2,FZD10
3003,WNT2,FZD2
3004,WNT2,FZD5
3005,WNT2,FZD6
3006,WNT2,FZD7
3007,WNT2,FZD8
3008,WNT2B,FZD1
3009,WNT2B,FZD10
3010,WNT2B,FZD2
3011,WNT2B,FZD3
3012,WNT2B,FZD5
3013,WNT2B,FZD6
3014,WNT2B,FZD7
3015,WNT2B,FZD8
3016,WNT2B,FZD9
3017,WNT3,FZD3
3018,WNT3,FZD6
3019,WNT3,RYK
3020,WNT3,FZD9
3021,WNT3A,RYK
3022,WNT3A,FZD9
3023,WNT4,FZD1
3024,WNT4,FZD10
3025,WNT4,FZD2
3026,WNT4,FZD3
3027,WNT4,FZD4
3028,WNT4,FZD5
3029,WNT4,FZD7
3030,WNT4,FZD8
3031,WNT4,FZD9
3032,WNT5A,FZD10
3033,WNT5A,FZD7
3034,WNT5A,FZD8
3035,WNT5A,RYK
3036,WNT5A,FZD9
3037,WNT5B,FZD10
3038,WNT5B,FZD3
3039,WNT5B,FZD9
3040,WNT6,FZD1
3041,WNT6,LRP5
3042,WNT6,LRP6
3043,WNT6,FZD10
3044,WNT6,FZD2
3045,WNT6,FZD3
3046,WNT6,FZD4
3047,WNT6,FZD5
3048,WNT6,FZD6
3049,WNT6,FZD7
3050,WNT6,FZD8
3051,WNT6,FZD9
3052,WNT7A,FZD2
3053,WNT7A,FZD3
3054,WNT7A,FZD4
3055,WNT7A,FZD6
3056,WNT7B,FZD3
3057,WNT7B,FZD6
3058,WNT7B,FZD9
3059,WNT8A,FZD1
3060,WNT8A,FZD10
3061,WNT8A,FZD2
3062,WNT8A,FZD3
3063,WNT8A,FZD4
3064,WNT8A,FZD6
3065,WNT8A,FZD7
3066,WNT8A,FZD9
3067,WNT8B,FZD1
3068,WNT8B,FZD10
3069,WNT8B,FZD2
3070,WNT8B,FZD3
3071,WNT8B,FZD4
3072,WNT8B,FZD6
3073,WNT8B,FZD7
3074,WNT8B,FZD9
3075,WNT9A,FZD2
3076,WNT9A,FZD3
3077,WNT9A,FZD6
3078,WNT9A,FZD7
3079,WNT9B,FZD1
3080,WNT9B,FZD2
3081,WNT9B,FZD3
3082,WNT9B,FZD6
3083,WNT9B,FZD7
3084,WNT9B,FZD9
3085,INHA,ACVR1
3086,INHA,ACVR2A
3087,INHA,ACVR2B
3088,INHA,ACVR1B
3089,INHA,ACVR1C
3090,INHBC,ACVR2A
3091,INHBC,ACVR2B
3092,INHBE,ACVR2A
3093,INHBE,ACVR2B
3094,ITGAV,ADGRE2
3095,ITGB1,ADGRE2
3096,ITGB3,ADGRE2
3097,ADIPOQ,ADIPOR1
3098,ADIPOQ,ADIPOR2
3099,ALB,B2M
3100,ALB,FCGRT
3101,ALCAM,CD6
3102,B2M,IL6ST
3103,CBLN1,GRID2
3104,NRXN1,GRID2
3105,CD276,TREML2
3106,CD320,JAML
3107,CD55,ADGRE5
3108,CLCF1,LIFR
3109,CLU,TREM2
3110,CLU,TYROBP
3111,ERVH48-1,SLC1A5
3112,FTH1,SCARA5
3113,FTL,SCARA5
3114,GPHA2,TSHR
3115,GPHB5,TSHR
3116,HEBP1,FPR3
3117,HFE,TFRC
3118,KLRB1,CLEC2D
3119,LCN2,SLC22A17
3120,MLN,MLNR
3121,NELL2,ROBO3
3122,NSMF,GNRHR
3123,NXNL1,BSG
3124,NXNL1,SLC16A1
3125,OMD,ITGAV
3126,OMD,ITGB3
3127,PENK,GHSR
3128,PLG,ITGA2B
3129,PLG,ITGB3
3130,PPIA,BSG
3131,PROC,PROCR
3132,PRXL2B,PTGFR
3133,PTGIS,PTGIR
3134,PTPRD,IL1RAP
3135,PTPRD,IL1RAPL1
3136,QRFP,QRFPR
3137,RBP4,STRA6
3138,REN,ATP6AP2
3139,SFTPD,ADGRE5
3140,SPN,SIGLEC1
3141,TPO,THRB
3142,TRH,TRHR
3143,TULP1,TYRO3
3144,CD177,PECAM1
3145,DAG1,NRXN3
3146,NLGN4Y,NRXN3
3147,CD44,TYROBP
3148,LRP1,TIMP1
3149,LRP1,MMP9
3150,LTBR,LTB
3151,LTBR,LTA
3152,ADGRB1,ITGAV
3153,ADGRB1,ITGB5
3154,ADGRA2,ITGAV
3155,ADGRA2,ITGB3
3156,ADGRE5,ITGAV
3157,ADGRE5,ITGB3
3158,ADGRE5,ITGA5
3159,ADGRE5,ITGB1
3160,ACVR1B,INHBA
3161,ACVR2B,INHBA
3162,ACVR1B,INHBB
3163,ACVR2B,INHBB
3164,ACVR1C,INHBA
3165,ACVR1C,INHBB
3166,ACVR2A,INHBA
3167,ACVR2A,INHBB
3168,IL27RA,EBI3
3169,IL6ST,EBI3
3170,IL27RA,IL27
3171,IL6ST,IL27
3172,IL12RB1,IL12B
3173,IL23R,IL12B
3174,IL12RB1,IL23A
3175,IL23R,IL23A
3176,IL12RB1,IL12A
3177,IL12RB2,IL12A
3178,IL12RB2,IL12B
3179,IL12RB2,IL27
3180,IL27RA,IL12A
3181,IL12RB2,EBI3
3182,IL6ST,IL12A
3183,FCGR2B,IGHG1
3184,FCGR2B,IGLC1
3185,FCGR3B,IGHG1
3186,FCGR3B,IGLC1
3187,BMPR1B,BMP15
3188,BMPR2,BMP15
3189,ACVR1B,BMP15
3190,BMPR1B,GDF9
3191,BMPR2,GDF9
3192,ACVR1B,GDF9
3193,ADGRL3,UNC5D
3194,ADGRL3,FLRT2
3195,ITGA2B,FGA
3196,ITGB3,FGA
3197,ITGA2B,FGG
3198,ITGB3,FGG
3199,ITGA2B,FGB
3200,ITGB3,FGB
3201,ITGB2,FGA
3202,ITGAM,FGA
3203,ITGB2,FGG
3204,ITGAM,FGG
3205,ITGB2,FGB
3206,ITGAM,FGB
3207,TLR4,FGA
3208,TLR4,FGG
3209,TLR4,FGB
3210,CSF1R,IL34
3211,CSF1R,CSF1
3212,CNTFR,CLCF1
3213,IL6ST,CLCF1
3214,CNTFR,CRLF1
3215,IL6ST,CRLF1
3216,CXCR4,ZG16B
3217,TLR2,ZG16B
3218,FGFR1,FGF2
3219,TGFBR3,FGF2
3220,TGFBR1,TGFB2
3221,TGFBR2,TGFB2
3222,TGFBR1,TGFB3
3223,TGFBR2,TGFB3
3224,TGFBR1,TGFB1
3225,TGFBR2,TGFB1
3226,IL18R1,IL37
3227,SIGIRR,IL37
3228,ADGRA2,WNT7A
3229,RECK,WNT7A
3230,FZD5,WNT7A
3231,LRP6,WNT7A
3232,ADGRA2,WNT7B
3233,RECK,WNT7B
3234,FZD5,WNT7B
3235,LRP6,WNT7B
3236,LRP5,WNT7A
3237,LRP5,WNT7B
3238,CALCRL,ADM
3239,RAMP3,ADM
3240,CALCRL,IAPP
3241,RAMP3,IAPP
3242,CALCR,ADM
3243,RAMP2,ADM
3244,RAMP2,IAPP
3245,RAMP1,IAPP
3246,CALCRL,CALCA
3247,RAMP1,CALCA
3248,CALCRL,CALCB
3249,RAMP1,CALCB
3250,NRP1,SEMA3C
3251,PLXND1,SEMA3C
3252,NRP2,SEMA3G
3253,PLXND1,SEMA3G
3254,NRP1,SEMA3A
3255,PLXNA4,SEMA3A
3256,PLXNA3,SEMA3A
3257,PLXNA2,SEMA3A
3258,NRP1,SEMA6A
3259,PLXNA2,SEMA6A
3260,PLXNA4,SEMA3B
3261,PLXNA2,SEMA3B
3262,NRP1,SEMA3B
3263,NRP2,SEMA3B
3264,PLXNA1,SEMA3A
3265,IL31RA,IL31
3266,OSMR,IL31
3267,PLXNB1,SEMA4D
3268,MET,SEMA4D
3269,PLXNB3,SEMA5A
3270,MET,SEMA5A
3271,FZD1,WNT10A
3272,LRP6,WNT10A
3273,FZD1,WNT3
3274,LRP6,WNT3
3275,FZD1,WNT7A
3276,FZD1,WNT7B
3277,FZD1,WNT9A
3278,LRP6,WNT9A
3279,FZD1,WNT5B
3280,LRP6,WNT5B
3281,FZD1,WNT1
3282,LRP6,WNT1
3283,FZD1,WNT2
3284,LRP6,WNT2
3285,FZD1,WNT3A
3286,LRP6,WNT3A
3287,FZD1,WNT5A
3288,LRP6,WNT5A
3289,FZD10,WNT7A
3290,FZD10,WNT3
3291,FZD10,WNT3A
3292,FZD10,WNT7B
3293,FZD10,WNT9A
3294,FZD10,WNT9B
3295,LRP6,WNT9B
3296,FZD2,WNT1
3297,FZD2,WNT3
3298,FZD2,WNT3A
3299,FZD2,WNT7B
3300,FZD2,WNT5B
3301,FZD2,WNT5A
3302,FZD3,WNT2
3303,FZD3,WNT3A
3304,FZD3,WNT5A
3305,FZD4,WNT1
3306,FZD4,WNT3
3307,FZD4,WNT3A
3308,FZD4,WNT9A
3309,FZD4,WNT9B
3310,FZD4,WNT5B
3311,FZD4,WNT2
3312,FZD4,WNT2B
3313,LRP6,WNT2B
3314,FZD4,WNT7B
3315,FZD5,WNT1
3316,FZD5,WNT10A
3317,FZD5,WNT3
3318,FZD5,WNT8A
3319,LRP6,WNT8A
3320,FZD5,WNT8B
3321,LRP6,WNT8B
3322,FZD5,WNT9A
3323,FZD5,WNT9B
3324,FZD5,WNT5B
3325,FZD5,WNT3A
3326,FZD5,WNT5A
3327,FZD6,WNT10B
3328,LRP6,WNT10B
3329,FZD6,WNT5B
3330,FZD6,WNT3A
3331,FZD6,WNT4
3332,LRP6,WNT4
3333,FZD6,WNT5A
3334,FZD7,WNT1
3335,FZD7,WNT7A
3336,FZD7,WNT7B
3337,FZD7,WNT10B
3338,FZD7,WNT5B
3339,FZD7,WNT3
3340,FZD7,WNT3A
3341,FZD8,WNT5B
3342,FZD8,WNT1
3343,FZD8,WNT10A
3344,FZD8,WNT3
3345,FZD8,WNT7A
3346,FZD8,WNT7B
3347,FZD8,WNT8A
3348,FZD8,WNT8B
3349,FZD8,WNT9A
3350,FZD8,WNT9B
3351,FZD8,WNT3A
3352,FZD9,WNT9A
3353,EGFR,WNT9A
3354,FZD9,WNT7A
3355,FZD9,WNT2
3356,KREMEN1,RSPO1
3357,LRP6,RSPO1
3358,KREMEN1,DKK1
3359,LRP6,DKK1
3360,KREMEN1,DKK2
3361,LRP6,DKK2
3362,KREMEN1,DKK4
3363,LRP6,DKK4
3364,KREMEN2,DKK1
3365,KREMEN2,DKK2
3366,KREMEN2,DKK4
3367,LRP5,WNT10A
3368,LRP5,WNT3
3369,LRP5,WNT9A
3370,LRP5,WNT5B
3371,LRP5,WNT1
3372,LRP5,WNT2
3373,LRP5,WNT3A
3374,LRP5,WNT5A
3375,LRP5,WNT9B
3376,FZD4,WNT5A
3377,LRP5,WNT2B
3378,FZD4,NDP
3379,LRP5,NDP
3380,LRP5,WNT8A
3381,LRP5,WNT8B
3382,LRP5,WNT10B
3383,LRP5,WNT4
3384,CNTFR,CNTF
3385,LIFR,CNTF
3386,IL6ST,CNTF
3387,KLRD1,HLA-E
3388,KLRC2,HLA-E
3389,KLRC1,HLA-E
3390,FLT1,PGF
3391,KDR,PGF
3392,FLT1,VEGFB
3393,KDR,VEGFB
3394,FLT1,VEGFA
3395,KDR,VEGFA
3396,PLXNA1,SEMA6D
3397,KDR,SEMA6D
3398,ITGAV,VTN
3399,ITGB5,VTN
3400,ITGAV,PLAUR
3401,ITGB5,PLAUR
3402,ITGAV,FCER2
3403,ITGB5,FCER2
3404,ITGAV,ADAM9
3405,ITGB5,ADAM9
3406,ITGA2B,L1CAM
3407,ITGB3,L1CAM
3408,ITGA2B,CD40LG
3409,ITGB3,CD40LG
3410,ITGA2B,FN1
3411,ITGB3,FN1
3412,ITGAV,SPP1
3413,ITGB3,SPP1
3414,ITGAV,L1CAM
3415,ITGAV,NID1
3416,ITGB3,NID1
3417,ITGAV,ANGPTL3
3418,ITGB3,ANGPTL3
3419,ITGAV,FGF1
3420,ITGB3,FGF1
3421,ITGAV,MMP2
3422,ITGB3,MMP2
3423,ITGAV,FBN1
3424,ITGB3,FBN1
3425,ITGAV,FGF2
3426,ITGB3,FGF2
3427,ITGAV,EDIL3
3428,ITGB3,EDIL3
3429,ITGAV,THY1
3430,ITGB3,THY1
3431,ITGB3,FCER2
3432,ITGB3,PLAUR
3433,ITGB3,VTN
3434,ITGAV,FN1
3435,ITGAL,ICAM5
3436,ITGB2,ICAM5
3437,ITGAM,HP
3438,ITGB2,HP
3439,ITGAM,THY1
3440,ITGB2,THY1
3441,ITGAM,CD40LG
3442,ITGB2,CD40LG
3443,ITGAX,THY1
3444,ITGAX,ICAM1
3445,ITGB2,ICAM1
3446,CD63,TIMP1
3447,ITGB1,TIMP1
3448,ITGA1,ADAM9
3449,ITGB1,ADAM9
3450,ITGA2,CSPG4
3451,ITGB1,CSPG4
3452,ITGA3,CSPG4
3453,ITGA3,TIMP2
3454,ITGB1,TIMP2
3455,ITGA3,ADAM9
3456,ITGA4,CSPG4
3457,ITGA4,CD14
3458,ITGB1,CD14
3459,ITGA4,ADAM28
3460,ITGB1,ADAM28
3461,ITGA5,ANGPT1
3462,ITGB1,ANGPT1
3463,ITGA5,FBN1
3464,ITGB1,FBN1
3465,ITGA5,ANGPT2
3466,ITGB1,ANGPT2
3467,ITGA5,ADAM17
3468,ITGB1,ADAM17
3469,ITGA6,ADAM9
3470,ITGA6,TSPAN1
3471,ITGB1,TSPAN1
3472,ITGA8,VTN
3473,ITGB1,VTN
3474,ITGA9,PLG
3475,ITGB1,PLG
3476,ITGB1,L1CAM
3477,ITGB2,FCER2
3478,ITGAX,FCER2
3479,ITGB2,C3
3480,ITGAX,C3
3481,CD47,FCER2
3482,ITGB1,SPP1
3483,ITGB1,FN1
3484,ITGB3,TNC
3485,ITGAV,TNC
3486,ITGB5,SPP1
3487,ITGB6,FN1
3488,ITGB2,VCAM1
3489,ITGAM,VCAM1
3490,ITGAM,FCER2
3491,ITGB2,JAM3
3492,ITGAM,JAM3
3493,ITGB2,GP1BA
3494,ITGAM,GP1BA
3495,ITGAM,C3
3496,ITGB2,ICAM2
3497,ITGAL,ICAM2
3498,ITGB2,ICAM3
3499,ITGAL,ICAM3
3500,ITGB2,F11R
3501,ITGAL,F11R
3502,ITGB2,ICAM4
3503,ITGAL,ICAM4
3504,ITGAL,ICAM1
3505,ITGB7,CDH1
3506,ITGAE,CDH1
3507,ITGAD,ICAM3
3508,ITGAD,VCAM1
3509,ITGA9,SPP1
3510,ITGB1,VCAM1
3511,ITGA9,VCAM1
3512,ITGB1,F13A1
3513,ITGA9,F13A1
3514,ITGA9,L1CAM
3515,ITGA9,FN1
3516,ITGA8,SPP1
3517,ITGA8,FN1
3518,ITGB1,TNC
3519,ITGA7,TNC
3520,ITGA5,L1CAM
3521,ITGA5,SPP1
3522,ITGA5,F13A1
3523,ITGB1,SPON2
3524,ITGA5,SPON2
3525,ITGB1,CD40LG
3526,ITGA5,CD40LG
3527,ITGA5,FN1
3528,ITGA4,SPP1
3529,ITGB1,PLAUR
3530,ITGA4,PLAUR
3531,ITGB1,JAM2
3532,ITGA4,JAM2
3533,ITGA4,VCAM1
3534,ITGA4,SPON2
3535,ITGA4,FN1
3536,ITGB7,MADCAM1
3537,ITGA4,MADCAM1
3538,ITGB7,VCAM1
3539,ITGB7,FN1
3540,ITGA3,FN1
3541,ITGB1,CDH1
3542,ITGA2,CDH1
3543,ITGB1,HSPG2
3544,ITGA2,HSPG2
3545,ITGB1,COL10A1
3546,ITGA2,COL10A1
3547,ITGB1,COL11A1
3548,ITGA2,COL11A1
3549,ITGB1,COL11A2
3550,ITGA2,COL11A2
3551,ITGB1,COL12A1
3552,ITGA2,COL12A1
3553,ITGB1,COL13A1
3554,ITGA2,COL13A1
3555,ITGB1,COL14A1
3556,ITGA2,COL14A1
3557,ITGB1,COL15A1
3558,ITGA2,COL15A1
3559,ITGB1,COL16A1
3560,ITGA2,COL16A1
3561,ITGB1,COL17A1
3562,ITGA2,COL17A1
3563,ITGB1,COL18A1
3564,ITGA2,COL18A1
3565,ITGB1,COL19A1
3566,ITGA2,COL19A1
3567,ITGB1,COL1A1
3568,ITGA2,COL1A1
3569,ITGB1,COL1A2
3570,ITGA2,COL1A2
3571,ITGB1,COL20A1
3572,ITGA2,COL20A1
3573,ITGB1,COL21A1
3574,ITGA2,COL21A1
3575,ITGB1,COL22A1
3576,ITGA2,COL22A1
3577,ITGB1,COL24A1
3578,ITGA2,COL24A1
3579,ITGB1,COL26A1
3580,ITGA2,COL26A1
3581,ITGB1,COL27A1
3582,ITGA2,COL27A1
3583,ITGB1,COL28A1
3584,ITGA2,COL28A1
3585,ITGB1,COL2A1
3586,ITGA2,COL2A1
3587,ITGB1,COL3A1
3588,ITGA2,COL3A1
3589,ITGB1,COL4A1
3590,ITGA2,COL4A1
3591,ITGB1,COL4A2
3592,ITGA2,COL4A2
3593,ITGB1,COL4A3
3594,ITGA2,COL4A3
3595,ITGB1,COL4A4
3596,ITGA2,COL4A4
3597,ITGB1,COL4A5
3598,ITGA2,COL4A5
3599,ITGB1,COL4A6
3600,ITGA2,COL4A6
3601,ITGB1,COL5A1
3602,ITGA2,COL5A1
3603,ITGB1,COL5A2
3604,ITGA2,COL5A2
3605,ITGB1,COL5A3
3606,ITGA2,COL5A3
3607,ITGB1,COL6A1
3608,ITGA2,COL6A1
3609,ITGB1,COL6A2
3610,ITGA2,COL6A2
3611,ITGB1,COL6A3
3612,ITGA2,COL6A3
3613,ITGB1,COL6A5
3614,ITGA2,COL6A5
3615,ITGB1,COL6A6
3616,ITGA2,COL6A6
3617,ITGB1,COL7A1
3618,ITGA2,COL7A1
3619,ITGB1,COL8A1
3620,ITGA2,COL8A1
3621,ITGB1,COL8A2
3622,ITGA2,COL8A2
3623,ITGB1,COL9A1
3624,ITGA2,COL9A1
3625,ITGB1,COL9A2
3626,ITGA2,COL9A2
3627,ITGB1,COL9A3
3628,ITGA2,COL9A3
3629,ITGA11,COL10A1
3630,ITGA11,COL11A1
3631,ITGA11,COL11A2
3632,ITGA11,COL12A1
3633,ITGA11,COL13A1
3634,ITGA11,COL14A1
3635,ITGA11,COL15A1
3636,ITGA11,COL16A1
3637,ITGA11,COL17A1
3638,ITGA11,COL18A1
3639,ITGA11,COL19A1
3640,ITGA11,COL1A1
3641,ITGA11,COL1A2
3642,ITGA11,COL20A1
3643,ITGA11,COL21A1
3644,ITGA11,COL22A1
3645,ITGA11,COL24A1
3646,ITGA11,COL26A1
3647,ITGA11,COL27A1
3648,ITGA11,COL28A1
3649,ITGA11,COL2A1
3650,ITGA11,COL3A1
3651,ITGA11,COL4A1
3652,ITGA11,COL4A2
3653,ITGA11,COL4A3
3654,ITGA11,COL4A4
3655,ITGA11,COL4A5
3656,ITGA11,COL4A6
3657,ITGA11,COL5A1
3658,ITGA11,COL5A2
3659,ITGA11,COL5A3
3660,ITGA11,COL6A1
3661,ITGA11,COL6A2
3662,ITGA11,COL6A3
3663,ITGA11,COL6A5
3664,ITGA11,COL6A6
3665,ITGA11,COL7A1
3666,ITGA11,COL8A1
3667,ITGA11,COL8A2
3668,ITGA11,COL9A1
3669,ITGA11,COL9A2
3670,ITGA11,COL9A3
3671,ITGA10,COL10A1
3672,ITGA10,COL11A1
3673,ITGA10,COL11A2
3674,ITGA10,COL12A1
3675,ITGA10,COL13A1
3676,ITGA10,COL14A1
3677,ITGA10,COL15A1
3678,ITGA10,COL16A1
3679,ITGA10,COL17A1
3680,ITGA10,COL18A1
3681,ITGA10,COL19A1
3682,ITGA10,COL1A1
3683,ITGA10,COL1A2
3684,ITGA10,COL20A1
3685,ITGA10,COL21A1
3686,ITGA10,COL22A1
3687,ITGA10,COL24A1
3688,ITGA10,COL26A1
3689,ITGA10,COL27A1
3690,ITGA10,COL28A1
3691,ITGA10,COL2A1
3692,ITGA10,COL3A1
3693,ITGA10,COL4A1
3694,ITGA10,COL4A2
3695,ITGA10,COL4A3
3696,ITGA10,COL4A4
3697,ITGA10,COL4A5
3698,ITGA10,COL4A6
3699,ITGA10,COL5A1
3700,ITGA10,COL5A2
3701,ITGA10,COL5A3
3702,ITGA10,COL6A1
3703,ITGA10,COL6A2
3704,ITGA10,COL6A3
3705,ITGA10,COL6A5
3706,ITGA10,COL6A6
3707,ITGA10,COL7A1
3708,ITGA10,COL8A1
3709,ITGA10,COL8A2
3710,ITGA10,COL9A1
3711,ITGA10,COL9A2
3712,ITGA10,COL9A3
3713,ITGB1,SEMA7A
3714,ITGA1,SEMA7A
3715,ITGA1,COL10A1
3716,ITGA1,COL11A1
3717,ITGA1,COL11A2
3718,ITGA1,COL12A1
3719,ITGA1,COL13A1
3720,ITGA1,COL14A1
3721,ITGA1,COL15A1
3722,ITGA1,COL16A1
3723,ITGA1,COL17A1
3724,ITGA1,COL18A1
3725,ITGA1,COL19A1
3726,ITGA1,COL1A1
3727,ITGA1,COL1A2
3728,ITGA1,COL20A1
3729,ITGA1,COL21A1
3730,ITGA1,COL22A1
3731,ITGA1,COL24A1
3732,ITGA1,COL26A1
3733,ITGA1,COL27A1
3734,ITGA1,COL28A1
3735,ITGA1,COL2A1
3736,ITGA1,COL3A1
3737,ITGA1,COL4A1
3738,ITGA1,COL4A2
3739,ITGA1,COL4A3
3740,ITGA1,COL4A4
3741,ITGA1,COL4A5
3742,ITGA1,COL4A6
3743,ITGA1,COL5A1
3744,ITGA1,COL5A2
3745,ITGA1,COL5A3
3746,ITGA1,COL6A1
3747,ITGA1,COL6A2
3748,ITGA1,COL6A3
3749,ITGA1,COL6A5
3750,ITGA1,COL6A6
3751,ITGA1,COL7A1
3752,ITGA1,COL8A1
3753,ITGA1,COL8A2
3754,ITGA1,COL9A1
3755,ITGA1,COL9A2
3756,ITGA1,COL9A3
3757,IL11RA,IL11
3758,IL6ST,IL11
3759,IL6R,IL6
3760,IL6ST,IL6
3761,LIFR,LIF
3762,IL6ST,LIF
3763,LIFR,OSM
3764,IL6ST,OSM
3765,LIFR,CTF1
3766,IL6ST,CTF1
3767,OSMR,OSM
3768,CSF2RB,IL5
3769,IL5RA,IL5
3770,IL13RA1,IL13
3771,IL4R,IL13
3772,IL2RG,IL4
3773,IL4R,IL4
3774,IL21R,IL21
3775,IL2RG,IL21
3776,IL7R,IL7
3777,IL2RG,IL7
3778,IL9R,IL9
3779,IL2RG,IL9
3780,IL15RA,IL15
3781,IL2RB,IL15
3782,IL2RG,IL15
3783,IL2RA,IL2
3784,IL2RB,IL2
3785,IL2RG,IL2
3786,IL20RA,IL19
3787,IL20RB,IL19
3788,IL20RA,IL20
3789,IL20RB,IL20
3790,IL20RA,IL24
3791,IL20RB,IL24
3792,IL22RA1,IL20
3793,IL22RA1,IL24
3794,IL1R1,IL1A
3795,IL1RAP,IL1A
3796,IL1R1,IL1B
3797,IL1RAP,IL1B
3798,IL1R2,IL1A
3799,IL1R2,IL1B
3800,IL1RL1,IL33
3801,IL1RAP,IL33
3802,IL1RL2,IL36A
3803,IL1RAP,IL36A
3804,IL1RL2,IL36B
3805,IL1RAP,IL36B
3806,IL1RL2,IL36G
3807,IL1RAP,IL36G
3808,IL18R1,IL18
3809,IL18RAP,IL18
3810,IL17RA,IL17C
3811,IL17RE,IL17C
3812,IL17RA,IL17A
3813,IL17RC,IL17A
3814,IL17RA,IL17F
3815,IL17RC,IL17F
3816,IL10RA,IL10
3817,IL10RB,IL10
3818,IL20RA,IL26
3819,IL10RB,IL26
3820,IL22RA1,IL22
3821,IL10RB,IL22
3822,IL10RB,IFNL1
3823,IFNLR1,IFNL1
3824,IL10RB,IFNL2
3825,IFNLR1,IFNL2
3826,IL10RB,IFNL3
3827,IFNLR1,IFNL3
3828,IFNGR1,IFNG
3829,IFNGR2,IFNG
3830,IFNAR1,IFNK
3831,IFNAR2,IFNK
3832,IFNAR1,IFNA1
3833,IFNAR2,IFNA1
3834,IFNAR1,IFNA10
3835,IFNAR2,IFNA10
3836,IFNAR1,IFNA14
3837,IFNAR2,IFNA14
3838,IFNAR1,IFNA16
3839,IFNAR2,IFNA16
3840,IFNAR1,IFNA17
3841,IFNAR2,IFNA17
3842,IFNAR1,IFNA2
3843,IFNAR2,IFNA2
3844,IFNAR1,IFNA21
3845,IFNAR2,IFNA21
3846,IFNAR1,IFNA4
3847,IFNAR2,IFNA4
3848,IFNAR1,IFNA5
3849,IFNAR2,IFNA5
3850,IFNAR1,IFNA6
3851,IFNAR2,IFNA6
3852,IFNAR1,IFNA7
3853,IFNAR2,IFNA7
3854,IFNAR1,IFNA8
3855,IFNAR2,IFNA8
3856,IFNAR1,IFNB1
3857,IFNAR2,IFNB1
3858,IFNAR1,IFNW1
3859,IFNAR2,IFNW1
3860,IFNAR1,IFNE
3861,IFNAR2,IFNE
3862,KLRK1,MICA
3863,HCST,MICA
3864,KLRK1,MICB
3865,HCST,MICB
3866,KLRK1,ULBP1
3867,HCST,ULBP1
3868,KLRK1,ULBP2
3869,HCST,ULBP2
3870,KLRK1,ULBP3
3871,HCST,ULBP3
3872,KLRK1,RAET1E
3873,HCST,RAET1E
3874,RET,PSPN
3875,GFRA4,PSPN
3876,RET,ARTN
3877,GFRA3,ARTN
3878,RET,GDNF
3879,GFRA2,GDNF
3880,RET,NRTN
3881,GFRA2,NRTN
3882,GFRA1,ARTN
3883,GFRA1,GDNF
3884,GFRA1,NRTN
3885,ERBB2,EGF
3886,ERBB4,EGF
3887,ERBB2,BTC
3888,ERBB3,BTC
3889,ERBB3,EGF
3890,ERBB3,NRG1
3891,ERBB2,NRG1
3892,ERBB4,NRG1
3893,ERBB4,NRG2
3894,ERBB2,NRG2
3895,ERBB4,NRG3
3896,ERBB2,NRG3
3897,ERBB2,SEMA4D
3898,CSF2RA,CSF2
3899,CSF2RB,CSF2
3900,EPOR,EPO
3901,CSF2RB,EPO
3902,IL3RA,IL3
3903,CSF2RB,IL3
3904,IL7R,TSLP
3905,CRLF2,TSLP
3906,ACVR1,BMP5
3907,BMPR2,BMP5
3908,ACVR1,BMP6
3909,BMPR2,BMP6
3910,ACVR1,BMP7
3911,BMPR2,BMP7
3912,ACVR1,BMP8A
3913,BMPR2,BMP8A
3914,ACVR1,BMP8B
3915,BMPR2,BMP8B
3916,ACVRL1,BMP10
3917,BMPR2,BMP10
3918,ACVRL1,GDF2
3919,BMPR2,GDF2
3920,BMPR1A,BMP2
3921,BMPR2,BMP2
3922,BMPR1A,BMP4
3923,BMPR2,BMP4
3924,BMPR1A,BMP5
3925,BMPR1A,BMP6
3926,BMPR1A,BMP7
3927,BMPR1A,BMP8A
3928,BMPR1A,BMP8B
3929,BMPR1A,GDF5
3930,BMPR2,GDF5
3931,BMPR1A,GDF6
3932,BMPR2,GDF6
3933,BMPR1A,GDF7
3934,BMPR2,GDF7
3935,BMPR1B,BMP2
3936,BMPR1B,BMP4
